ранг,слово,частота,доля_%,накопит_%,перевод_на_русский,часть_речи,лемма_основа,примечание
44,өз,739,0.1945,16.598,"свой, собственный",местоимение,өз,возвр.-притяж. основа
45,бу,727,0.1914,16.79,этот,местоимение,бул,разг. вариант «бул»
46,жана,716,0.1885,16.978,и,союз,жана,соединит. союз
47,деди,711,0.1872,17.165,сказал,глагол,де-,прош. вр. от «де-»
48,ушул,708,0.1864,17.352,этот (самый),местоимение,ушул,указат. (ближн.)
49,азыр,703,0.185,17.537,"сейчас, теперь",наречие,азыр,временное наречие
50,ким,691,0.1819,17.718,кто,местоимение,ким,вопросит. местоимение
51,баары,681,0.1793,17.898,"все, всё",местоимение,баары,определит. местоимение
52,же,660,0.1737,18.071,или,союз,же,разделит. союз
53,калган,643,0.1693,18.241,оставшийся,причастие,кал-,прич. от «кал-»
54,келип,633,0.1666,18.407,придя,деепричастие,кел-,деепр. от «кел-»
55,ар,624,0.1642,18.572,"каждый, всякий",местоимение,ар,определит. местоимение
56,башка,610,0.1606,18.732,другой; кроме,прилагательное / послелог,башка,часто послелог «кроме»
57,кетти,607,0.1598,18.892,"ушёл, уехал",глагол,кет-,прош. вр. от «кет-»
58,жаткан,603,0.1587,19.051,лежащий; который …ет,причастие,жат-,прич.; вспомог. дуратива
59,танабай,578,0.1521,19.203,Танабай,имя собственное,Танабай,"герой «Прощай, Гульсары»"
60,биз,558,0.1469,19.35,мы,местоимение,биз,личн. мест. 1 л. мн.
61,көз,557,0.1466,19.496,глаз,существительное,көз,часть тела
62,чыгып,540,0.1421,19.638,"выйдя, поднявшись",деепричастие,чык-,деепр. от «чык-»
63,келди,538,0.1416,19.78,пришёл,глагол,кел-,прош. вр. от «кел-»
64,мени,534,0.1406,19.921,меня,местоимение,мен,вин. падеж от «мен»
65,жер,532,0.14,20.061,"земля, место",существительное,жер,
66,го,532,0.14,20.201,"же, ведь",частица,го,убеждающая частица
67,адам,518,0.1363,20.337,человек,существительное,адам,
68,күн,509,0.134,20.471,день; солнце,существительное,күн,
69,кийин,508,0.1337,20.605,после; потом,послелог / наречие,кийин,временной послелог
70,карап,498,0.1311,20.736,"смотря, глядя",деепричастие,кара-,деепр. от «кара-»
71,ошондо,497,0.1308,20.867,тогда,наречие,ошондо,временное наречие
72,болгон,492,0.1295,20.996,"бывший, был",причастие,бол-,прич. от «бол-»
73,жол,466,0.1227,21.119,"дорога, путь",существительное,жол,
74,мага,462,0.1216,21.24,мне,местоимение,мен,дат. падеж от «мен»
75,берди,456,0.12,21.36,дал,глагол,бер-,прош. вр. от «бер-»
76,болот,447,0.1177,21.478,будет; можно,глагол,бол-,аорист «бол-»; омоним сущ. «сталь»
77,көп,445,0.1171,21.595,"много, многий",прилагательное / наречие,көп,
78,жатты,438,0.1153,21.71,лёг; лежал,глагол,жат-,прош. вр. от «жат-»
79,жан,438,0.1153,21.826,душа; существо; бок,существительное,жан,
80,туруп,437,0.115,21.941,встав; находясь,деепричастие,тур-,деепр. от «тур-»
81,салып,434,0.1142,22.055,"положив, всунув",деепричастие,сал-,деепр. от «сал-»
82,андан,433,0.114,22.169,от того; чем тот,местоимение,ал,исх. падеж от «ал»
83,бери,432,0.1137,22.283,с (тех пор); сюда,послелог / наречие,бери,
84,айтып,429,0.1129,22.396,"сказав, говоря",деепричастие,айт-,деепр. от «айт-»
85,ага,426,0.1121,22.508,"ему, ей",местоимение,ал,дат. падеж от «ал»
86,жакшы,424,0.1116,22.619,"хороший, хорошо",прилагательное / наречие,жакшы,
87,жолу,424,0.1116,22.731,раз; его дорога,существительное (форма),жол,кратность «раз» / притяж. от «жол»
88,суу,423,0.1113,22.842,вода,существительное,суу,
89,анда,420,0.1106,22.953,тогда; у него,местоимение / наречие,ал,мест. падеж от «ал»
90,ой,419,0.1103,23.063,мысль; ой!,существительное / междометие,ой,
91,келген,418,0.11,23.173,пришедший,причастие,кел-,прич. от «кел-»
92,бала,417,0.1098,23.283,"ребёнок, мальчик",существительное,бала,
93,биздин,412,0.1084,23.391,наш,местоимение,биз,род. падеж от «биз»
94,бири,410,0.1079,23.499,один из них,местоимение,бир,притяж. форма «бир»
95,кара,410,0.1079,23.607,чёрный; смотри,прилагательное / глагол,кара,омоним: повел. «кара-» (смотри)
96,албай,407,0.1071,23.714,"не в силах, не сумев",деепричастие,ал-,отриц. деепр. от «ал-»
97,барып,401,0.1056,23.82,"сходив, дойдя",деепричастие,бар-,деепр. от «бар-»
98,беле,391,0.1029,23.923,разве было; ли,частица,беле,вопросит. прош. частица
99,түшүп,388,0.1021,24.025,спустившись; упав,деепричастие,түш-,деепр. от «түш-»
100,улам,379,0.0998,24.125,всё время; по мере,наречие,улам,
101,турду,374,0.0984,24.223,встал; стоял,глагол,тур-,прош. вр. от «тур-»
102,көрүп,372,0.0979,24.321,увидев,деепричастие,көр-,деепр. от «көр-»
103,алар,367,0.0966,24.418,они,местоимение,алар,личн. мест. 3 л. мн.
104,турат,365,0.0961,24.514,стоит; находится,глагол,тур-,аорист «тур-»
105,мындай,360,0.0948,24.609,такой (как этот),местоимение,мындай,указат. местоимение
106,сенин,359,0.0945,24.703,твой,местоимение,сен,род. падеж от «сен»
107,чоң,354,0.0932,24.796,большой,прилагательное,чоң,
108,кылып,353,0.0929,24.889,сделав,деепричастие,кыл-,деепр. от «кыл-»
109,тартып,350,0.0921,24.981,потянув; начиная с,деепричастие,тарт-,деепр.; послеложн. «начиная с»
110,жатат,343,0.0903,25.072,лежит; …ет,глагол,жат-,аорист; дуратив
111,эл,343,0.0903,25.162,народ,существительное,эл,
112,ала,342,0.09,25.252,беря; пёстрый,деепричастие / прилагательное,ал-,деепр. «ал-»; омоним «пёстрый»
113,сөз,342,0.09,25.342,слово,существительное,сөз,
114,жүрүп,341,0.0898,25.432,"идя, ходя",деепричастие,жүр-,деепр. от «жүр-»
115,келе,341,0.0898,25.521,приближаясь,деепричастие,кел-,деепр. от «кел-»
116,ушу,336,0.0884,25.61,этот,местоимение,ушул,разг. вариант «ушул»
117,ай,334,0.0879,25.698,луна; месяц; эй!,существительное / междометие,ай,
118,ушундай,334,0.0879,25.786,"такой, вот такой",местоимение,ушундай,указат. местоимение
119,алды,333,0.0877,25.873,взял; перёд,глагол / существительное,ал-,прош. вр. «ал-»; омоним «перёд»
120,кетип,332,0.0874,25.961,"уходя, уйдя",деепричастие,кет-,деепр. от «кет-»
121,кудай,331,0.0871,26.048,бог,существительное,кудай,
122,жалгыз,330,0.0869,26.135,одинокий; единственный,прилагательное / наречие,жалгыз,
123,ак,328,0.0863,26.221,белый; чистый,прилагательное,ак,
124,жүргөн,328,0.0863,26.307,ходивший; живший,причастие,жүр-,прич. от «жүр-»
125,авдий,328,0.0863,26.394,Авдий,имя собственное,Авдий,герой романа «Плаха»
126,сага,327,0.0861,26.48,тебе,местоимение,сен,дат. падеж от «сен»
127,басып,323,0.085,26.565,шагая; нажав,деепричастие,бас-,деепр. от «бас-»
128,башын,320,0.0842,26.649,его голову; начало,существительное (форма),баш,вин./притяж. от «баш»
129,кой,318,0.0837,26.733,овца; ставь; брось,существительное / глагол,кой,омоним: повел. «кой-»
130,койду,316,0.0832,26.816,поставил; перестал,глагол,кой-,прош. вр. «кой-»
131,түштү,312,0.0821,26.898,"спустился, упал",глагол,түш-,прош. вр. «түш-»
132,күнү,312,0.0821,26.98,"в день, днём",существительное (форма),күн,притяж./временная форма
133,берип,311,0.0819,27.062,дав,деепричастие,бер-,деепр. от «бер-»
134,кайда,311,0.0819,27.144,"где, куда",местоимение / наречие,кайда,вопросит. наречие места
135,киши,309,0.0813,27.225,человек,существительное,киши,
136,ат,308,0.0811,27.306,лошадь; имя; стреляй,существительное / глагол,ат,омонимы; повел. «ат-» (стреляй)
137,баарын,308,0.0811,27.387,"всех, всё",местоимение,баары,вин. падеж от «баары»
138,жерде,305,0.0803,27.468,"на земле, в месте",существительное (форма),жер,мест. падеж от «жер»
139,жөнүндө,303,0.0798,27.547,"о, об, про",послелог,жөнүндө,послелог темы
140,иш,303,0.0798,27.627,"дело, работа",существительное,иш,
141,жерге,302,0.0795,27.707,на землю,существительное (форма),жер,дат. падеж от «жер»
142,калып,302,0.0795,27.786,оставшись,деепричастие,кал-,"деепр.; омоним сущ. «форма, колодка»"
143,экенин,301,0.0792,27.865,что это (есть),связка (форма),э-,субстантив. «экен» + вин.
144,баш,295,0.0777,27.943,голова; начало,существительное,баш,
145,жаңы,295,0.0777,28.021,новый,прилагательное,жаңы,
146,чейин,294,0.0774,28.098,до,послелог,чейин,послелог предела
147,экөө,289,0.0761,28.174,"двое, вдвоём",числительное,экөө,собират. числ.
148,кол,288,0.0758,28.25,рука,существительное,кол,
149,чыккан,287,0.0755,28.325,"вышедший, поднявшийся",причастие,чык-,прич. от «чык-»
150,кеткен,287,0.0755,28.401,ушедший,причастие,кет-,прич. от «кет-»
151,таң,287,0.0755,28.477,"рассвет, заря",существительное,таң,
152,чыкты,287,0.0755,28.552,"вышел, поднялся",глагол,чык-,прош. вр. «чык-»
153,келет,285,0.075,28.627,"придёт, приходит",глагол,кел-,аорист «кел-»
154,алдында,283,0.0745,28.702,"перед, впереди",послелог,алд,мест. падеж от «алд»
155,жатып,283,0.0745,28.776,лёжа; …в,деепричастие,жат-,деепр. от «жат-»
156,деле,281,0.074,28.85,"вовсе, даже; хоть",частица,деле,усилит.-уступит. частица
157,сени,281,0.074,28.924,тебя,местоимение,сен,вин. падеж от «сен»
158,коюп,271,0.0713,28.995,поставив; оставив,деепричастие,кой-,деепр. от «кой-»
159,кантип,270,0.0711,29.066,"как, каким образом",наречие,кантип,вопросит. наречие образа
160,өзүм,269,0.0708,29.137,я сам,местоимение,өз,притяж. 1 л. «өз»
161,жетип,268,0.0705,29.208,"достигнув, дойдя",деепричастие,жет-,деепр. от «жет-»
162,кирип,267,0.0703,29.278,войдя,деепричастие,кир-,деепр. от «кир-»
163,өтүп,266,0.07,29.348,"пройдя, миновав",деепричастие,өт-,деепр. от «өт-»
164,ошо,262,0.069,29.417,тот,местоимение,ошол,разг. вариант «ошол»
165,эмеспи,262,0.069,29.486,"не так ли, разве не",частица,эмес,«эмес» + вопросит.
166,качан,261,0.0687,29.555,когда,местоимение / наречие,качан,вопросит. наречие времени
167,үч,261,0.0687,29.623,три,числительное,үч,
168,ушинтип,259,0.0682,29.692,вот так (сделав),деепричастие / наречие,ушинт-,деепр. от «ушинт-»
169,бостон,259,0.0682,29.76,Бостон,имя собственное,Бостон,герой романа «Плаха»
170,бара,254,0.0669,29.827,идя,деепричастие,бар-,деепр. от «бар-»
171,болчу,253,0.0666,29.893,"было, бывало",глагол / частица,бол-,прош. многократн. «бол-»
172,ооба,249,0.0655,29.959,да,частица / междометие,ооба,утвердит. слово
173,түн,247,0.065,30.024,ночь,существительное,түн,
174,ошентип,247,0.065,30.089,"таким образом, так",деепричастие / наречие,ошент-,деепр. от «ошент-»
175,султанмурат,243,0.064,30.153,Султанмурат,имя собственное,Султанмурат,герой «Ранних журавлей»
176,нерсе,242,0.0637,30.216,"вещь, нечто",существительное,нерсе,
177,элем,242,0.0637,30.28,я был,связка (форма),э-,прош. связка 1 л. ед.
178,алган,237,0.0624,30.343,взявший; полученный,причастие,ал-,прич. от «ал-»
179,дейт,236,0.0621,30.405,"говорит, говорят",глагол,де-,аорист «де-»
180,ойлоп,235,0.0619,30.467,"подумав, думая",деепричастие,ойло-,деепр. от «ойло-»
181,туура,233,0.0613,30.528,"правильный, прямой; верно",прилагательное / наречие,туура,
182,катуу,233,0.0613,30.589,"твёрдый; сильно, крепко",прилагательное / наречие,катуу,
183,көзү,233,0.0613,30.65,его глаз,существительное (форма),көз,притяж. 3 л. «көз»
184,жаш,230,0.0605,30.711,молодой; возраст; слеза,прилагательное / существительное,жаш,омонимы
185,соң,229,0.0603,30.771,после,послелог,соң,временной послелог
186,өтө,228,0.06,30.831,очень; чересчур,наречие,өтө,усилит. наречие
187,бирөө,228,0.06,30.891,"кто-то, один (человек)",местоимение,бирөө,неопр. местоимение
188,боло,227,0.0598,30.951,становясь,деепричастие,бол-,деепр. от «бол-»
189,ошондой,225,0.0592,31.01,"такой, подобно тому",местоимение,ошондой,указат. местоимение
190,бетер,225,0.0592,31.07,ещё хуже; тем более,наречие,бетер,
191,артынан,225,0.0592,31.129,"вслед, за ним",послелог / наречие,арт,исх. падеж от «арт»
192,ары,224,0.059,31.188,"туда, дальше",наречие,ары,наречие места
193,жооп,221,0.0582,31.246,ответ,существительное,жооп,
194,өткөн,221,0.0582,31.304,"прошедший, прошлый",причастие,өт-,прич. от «өт-»
195,о,220,0.0579,31.362,о!,междометие,о,восклицание
196,андай,219,0.0576,31.42,такой (как тот),местоимение,андай,указат. местоимение
197,көрө,219,0.0576,31.477,видя; по сравнению,деепричастие / послелог,көр-,деепр.; сравнит. «көрө»
198,аз,219,0.0576,31.535,"мало, немного",прилагательное / наречие,аз,
199,канча,217,0.0571,31.592,сколько,местоимение,канча,вопросит. местоимение
200,жерден,216,0.0569,31.649,"с места, от земли",существительное (форма),жер,исх. падеж от «жер»
201,өзүн,216,0.0569,31.706,"себя, его самого",местоимение,өз,вин. от «өз»
202,көк,215,0.0566,31.762,"синий, голубой; небо; зелёный",прилагательное / существительное,көк,омонимы
203,балдар,214,0.0563,31.819,дети,существительное,бала,мн. ч. от «бала»
204,эң,213,0.0561,31.875,самый (превосх. степ.),наречие,эң,показатель превосх. степени
205,үйгө,212,0.0558,31.931,"домой, в дом",существительное (форма),үй,дат. падеж от «үй»
206,тура,212,0.0558,31.986,вставая; оказывается,деепричастие / частица,тур-,деепр.; эвиденц. частица
207,үн,210,0.0553,32.042,"голос, звук",существительное,үн,
208,али,209,0.055,32.097,"ещё, пока (не)",наречие,али,временное наречие
209,жаман,206,0.0542,32.151,"плохой, плохо",прилагательное / наречие,жаман,
210,гүлсары,206,0.0542,32.205,Гульсары,имя собственное,Гүлсары,"конь-иноходец, «Прощай, Гульсары»"
211,мүмкүн,205,0.054,32.259,"возможно, может быть",предикатив / наречие,мүмкүн,модальное слово
212,эгер,205,0.054,32.313,если,союз,эгер,условный союз
213,сейде,205,0.054,32.367,Сейде,имя собственное,Сейде,героиня повести «Лицом к лицу»
214,ата,204,0.0537,32.421,отец; дед,существительное,ата,термин родства
215,кете,204,0.0537,32.474,уходя,деепричастие,кет-,деепр. от «кет-»
216,келаткан,203,0.0534,32.528,"идущий сюда, приближающийся",причастие,кел-,«кел-» + «жат-» прич.
217,кар,202,0.0532,32.581,снег,существительное,кар,
218,тиги,201,0.0529,32.634,тот (вон тот),местоимение,тиги,указат. местоимение
219,калат,200,0.0526,32.687,останется,глагол,кал-,аорист «кал-»
220,отуруп,199,0.0524,32.739,"сидя, сев",деепричастие,отур-,деепр. от «отур-»
221,баратты,199,0.0524,32.791,шёл (туда),глагол,бар-,прош. продолж. «бар-»+«жат-»
222,улуу,196,0.0516,32.843,великий; старший,прилагательное,улуу,
223,алардын,196,0.0516,32.894,их,местоимение,алар,род. падеж от «алар»
224,болбосо,196,0.0516,32.946,если не будет; иначе,глагол / союз,бол-,отриц. условн. «бол-»
225,болор,196,0.0516,32.998,который будет; возможный,причастие,бол-,прич. буд. вр. «бол-»
226,учуп,196,0.0516,33.049,"летя, взлетев",деепричастие,уч-,деепр. от «уч-»
227,бүгүн,195,0.0513,33.101,сегодня,наречие,бүгүн,временное наречие
228,элек,195,0.0513,33.152,мы были,связка (форма),э-,прош. связка 1 л. мн.
229,кайсы,195,0.0513,33.203,"который, какой",местоимение,кайсы,вопросит. местоимение
230,муну,194,0.0511,33.254,"это, этого",местоимение,бул,вин. падеж от «бул»
231,тең,193,0.0508,33.305,равный; поровну; и,прилагательное / наречие,тең,
232,калса,193,0.0508,33.356,если останется,глагол,кал-,условн. «кал-»
233,борк,193,0.0508,33.407,бёрк (меховая шапка),существительное,бөрк,неоднозначно (OCR); возможно имя собств.
234,өзүң,192,0.0505,33.457,ты сам,местоимение,өз,притяж. 2 л. «өз»
235,коё,192,0.0505,33.508,"оставляя, пуская",деепричастие,кой-,деепр. от «кой-»
236,таштап,192,0.0505,33.558,"бросив, оставив",деепричастие,ташта-,деепр. от «ташта-»
237,бараткан,191,0.0503,33.609,идущий (туда),причастие,бар-,«бар-»+«жат-» прич.
238,түшкөн,190,0.05,33.659,"спустившийся, упавший",причастие,түш-,прич. от «түш-»
239,жаны,190,0.05,33.709,его душа,существительное (форма),жан,притяж. 3 л. «жан»
240,жай,188,0.0495,33.758,лето; место; спокойный,существительное / прилагательное,жай,омонимы
241,элдин,187,0.0492,33.807,народа,существительное (форма),эл,род. падеж от «эл»
242,көргөн,186,0.049,33.856,видевший,причастие,көр-,прич. от «көр-»
243,бе,186,0.049,33.905,ли,частица,бе,вопросит. частица
244,күтүп,185,0.0487,33.954,ожидая,деепричастие,күт-,деепр. от «күт-»
245,ичинде,183,0.0482,34.002,внутри; в течение,послелог,ич,мест. падеж от «ич»
246,сиз,182,0.0479,34.05,Вы (вежл.),местоимение,сиз,вежл. мест. 2 л.
247,баягы,182,0.0479,34.098,тот самый (прежний),местоимение / прилагательное,баягы,
248,сайын,181,0.0476,34.146,каждый раз; по мере,послелог,сайын,
249,чыга,180,0.0474,34.193,выходя,деепричастие,чык-,деепр. от «чык-»
250,билип,179,0.0471,34.24,"узнав, зная",деепричастие,бил-,деепр. от «бил-»
251,кана,179,0.0471,34.287,ну-ка; же,частица / междометие,кана,побудит. частица
252,анткени,178,0.0469,34.334,потому что,союз,анткени,причинный союз
253,берген,178,0.0469,34.381,давший; данный,причастие,бер-,прич. от «бер-»
254,кошо,178,0.0469,34.428,"вместе, заодно",наречие / деепричастие,кош-,деепр. от «кош-»
255,айдап,178,0.0469,34.475,"гоня, погоняя; вспахав",деепричастие,айда-,деепр. от «айда-»
256,жакын,178,0.0469,34.521,"близкий, близко",прилагательное / наречие,жакын,
257,жүрөт,178,0.0469,34.568,"ходит, живёт",глагол,жүр-,аорист «жүр-»
258,кайдан,177,0.0466,34.615,откуда,наречие,кайдан,вопросит. наречие
259,бер,177,0.0466,34.661,дай,глагол,бер-,повел. накл. «бер-»
260,бүт,176,0.0463,34.708,"весь, целиком; кончись",наречие / глагол,бүт,повел. «бүт-» / «целиком»
261,жиберди,176,0.0463,34.754,"отправил, пустил",глагол,жибер-,прош. вр. «жибер-»
262,бекен,176,0.0463,34.8,"ли, неужели",частица,бекен,вопросит. частица
263,кетет,174,0.0458,34.846,"уйдёт, уходит",глагол,кет-,аорист «кет-»
264,так,173,0.0455,34.892,точный; трон; чётный,прилагательное / существительное,так,омонимы
265,көтөрүп,173,0.0455,34.937,"подняв, неся",деепричастие,көтөр-,деепр. от «көтөр-»
266,берет,173,0.0455,34.983,"даёт, даст",глагол,бер-,аорист «бер-»
267,ошону,172,0.0453,35.028,"того, это",местоимение,ошол,вин. падеж от «ошо/ошол»
268,бою,171,0.045,35.073,в течение; вдоль; рост,существительное (форма) / послелог,бой,притяж. от «бой»
269,экөөбүз,170,0.0447,35.118,мы вдвоём,числительное / местоимение,экөө,«вдвоём» 1 л. мн.
270,кан,169,0.0445,35.162,кровь; хан,существительное,кан,омонимы
271,болбой,169,0.0445,35.207,не став; не получаясь,деепричастие,бол-,отриц. деепр. «бол-»
272,тоо,168,0.0442,35.251,гора,существительное,тоо,
273,адамдын,168,0.0442,35.295,человека,существительное (форма),адам,род. падеж от «адам»
274,өзүнүн,167,0.044,35.339,"своего, его самого",местоимение,өз,род. падеж «өз»
275,дал,167,0.044,35.383,"точно, как раз",наречие / частица,дал,усилит. наречие
276,кээде,167,0.044,35.427,иногда,наречие,кээде,временное наречие
277,ыйлап,166,0.0437,35.471,плача,деепричастие,ыйла-,деепр. от «ыйла-»
278,ачык,165,0.0434,35.514,открытый; ясно,прилагательное / наречие,ачык,
279,неме,165,0.0434,35.558,штука; некто/нечто,существительное / местоимение,неме,"разг., слегка пренебр."
280,ээн,165,0.0434,35.601,"безлюдный, пустынный",прилагательное,ээн,
281,кармап,164,0.0432,35.644,"держа, поймав",деепричастие,карма-,деепр. от «карма-»
282,балким,164,0.0432,35.687,"может быть, возможно",наречие / вводное,балким,модальное слово
283,кыз,164,0.0432,35.731,"девушка, дочь",существительное,кыз,
284,болсун,163,0.0429,35.774,пусть будет,глагол,бол-,желат./повел. 3 л. «бол-»
285,баштады,163,0.0429,35.816,начал,глагол,башта-,прош. вр. «башта-»
286,мындан,162,0.0426,35.859,отсюда; чем это,местоимение,бул,исх. падеж от «бул»
287,дедим,162,0.0426,35.902,я сказал,глагол,де-,прош. вр. «де-» 1 л. ед.
288,үй,161,0.0424,35.944,дом,существительное,үй,
289,учурда,160,0.0421,35.986,"в момент, в то время",существительное (форма) / наречие,учур,мест. падеж от «учур»
290,качып,160,0.0421,36.028,"убегая, сбежав",деепричастие,кач-,деепр. от «кач-»
291,кулак,160,0.0421,36.07,ухо,существительное,кулак,
292,иши,159,0.0419,36.112,его дело,существительное (форма),иш,притяж. 3 л. «иш»
293,кириск,159,0.0419,36.154,Кириск,имя собственное,Кириск,"герой «Пегого пса, бегущего краем моря»"
294,бет,158,0.0416,36.196,лицо; сторона; страница,существительное,бет,омонимы
295,ичинен,155,0.0408,36.237,изнутри; из; про себя,послелог,ич,исх. падеж от «ич»
296,биринчи,154,0.0405,36.277,первый,числительное,биринчи,порядк. числ.
297,чын,154,0.0405,36.318,истинный; правда,прилагательное / существительное,чын,
298,жүгүрүп,154,0.0405,36.358,"бегом, побежав",деепричастие,жүгүр-,деепр. от «жүгүр-»
299,аман,154,0.0405,36.399,невредимый; благополучно,прилагательное / наречие,аман,
300,бойдон,153,0.0403,36.439,в состоянии; так и,послелог / наречие,бой,исх. падеж от «бой»
301,кезде,152,0.04,36.479,во время; когда,существительное (форма) / наречие,кез,мест. падеж от «кез»
302,туш,152,0.04,36.519,сторона; момент,существительное,туш,
303,болбойт,152,0.04,36.559,нельзя; не будет,глагол,бол-,отриц. аорист «бол-»
304,барат,151,0.0397,36.599,"идёт, пойдёт",глагол,бар-,аорист «бар-»
305,оор,150,0.0395,36.638,тяжёлый; трудно,прилагательное / наречие,оор,
306,унчукпай,150,0.0395,36.678,"молча, не говоря",деепричастие,унчукпа-,отриц. деепр. «унчук-»
307,кыйын,150,0.0395,36.717,трудный; ловкий,прилагательное / наречие,кыйын,
308,кош,150,0.0395,36.757,прощай; двойной; присоединяй,глагол / прилагательное,кош,омонимы; повел. «кош-»
309,акыры,149,0.0392,36.796,"наконец, в конце концов",наречие / существительное,акыр,
310,айтты,149,0.0392,36.835,сказал,глагол,айт-,прош. вр. «айт-»
311,таап,148,0.039,36.874,найдя,деепричастие,тап-,деепр. от «тап-»
312,үнү,148,0.039,36.913,его голос,существительное (форма),үн,притяж. 3 л. «үн»
313,алиги,148,0.039,36.952,тот самый (упомянутый),местоимение,алиги,анафор. местоимение
314,каршы,147,0.0387,36.991,"против, напротив",послелог / прилагательное,каршы,
315,ырас,146,0.0384,37.029,"правда, действительно",частица / наречие,ырас,подтвердит. слово
316,башы,145,0.0382,37.067,его голова; начало,существительное (форма),баш,притяж. 3 л. «баш»
317,бизге,145,0.0382,37.105,нам,местоимение,биз,дат. падеж от «биз»
318,иосиф,145,0.0382,37.144,Иосиф,имя собственное,Иосиф,образ Христа в «Плахе»
319,баардык,144,0.0379,37.182,"весь, все",прилагательное / местоимение,бардык,вариант «бардык»
320,атасы,144,0.0379,37.219,его отец,существительное (форма),ата,притяж. 3 л. «ата»
321,минтип,144,0.0379,37.257,вот так (сделав),деепричастие / наречие,минт-,деепр. от «минт-»
322,өзүнө,143,0.0376,37.295,"себе, ему самому",местоимение,өз,дат. падеж «өз»
323,колу,143,0.0376,37.333,его рука,существительное (форма),кол,притяж. 3 л. «кол»
