#separator:Comma
#html:false
#tags column:4
үчүн,для; ради,Сен үчүн келдим,a1 verified postposition
кийин,после,Сабактан кийин ойнойбуз,a1 verified postposition
мурун,до; раньше,Сабактан мурун келдим,a1 verified postposition
чейин,до (предела),Кечке чейин иштедим,a1 verified postposition
жөнүндө,о; про,Китеп жөнүндө айтып берди,a1 verified postposition
боюнча,по; согласно,План боюнча иштейбиз,a1 verified postposition
аркылуу,через; посредством,Терезе аркылуу карадым,a1 verified postposition
сыяктуу,как; подобно,Сен сыяктуу окугум келет,a1 verified postposition
тууралуу,о; про,Ал тууралуу баарын билем,a1 verified postposition
сайын,каждый; по мере,Күн сайын китеп окуйм,a1 verified postposition
баштап,начиная с,Эртеден баштап иштейм,a1 verified postposition
тартып,начиная с,Бүгүндөн тартып окуйм,a1 verified postposition
карай,к; в сторону,Үйгө карай бастым,a1 verified postposition
көрө,по сравнению с,Сенден көрө бийик экен,a1 verified postposition
башка,кроме; другой,Сенден башка ким бар,a1 verified postposition
бери,с (о времени),Эртеден бери күтөм,a1 verified postposition
дейин,до (предела),Үйгө дейин жөө бардым,a1 verified postposition
жана,и,Мен жана сен,a1 verified conjunction
же,или,Чай же кофе ич,a1 verified conjunction
бирок,но; однако,Келдим бирок кеч болдум,a1 verified conjunction
анткени,потому что,Келбедим анткени ооруп калдым,a1 verified conjunction
ошондуктан,поэтому,Кеч болду ошондуктан кеттим,a1 verified conjunction
эгер,если,Эгер келсең мага айт,a1 verified conjunction
себеби,потому что,Себеби убакыт таптакыр жок,a1 verified conjunction
ал эми,а; что касается,Ал эми мен барам,a1 verified conjunction
анан,потом; и,Анан эмне болду,a1 verified conjunction
демек,значит; итак,Демек сен туура айтасың,a1 verified conjunction
ошентип,таким образом,Ошентип үйгө кайттык,a1 verified conjunction
же болбосо,или же,Бүгүн же болбосо эртең,a1 verified conjunction
деп,что (говоря),Келем деп айтты,a1 verified conjunction
ошондо,тогда,Ошондо мен келгем,a1 verified conjunction
го,же; ведь,Сен билесиң го,a1 verified particle
гана,только,Мен гана билем,a1 verified particle
эле,же; только,Ошол эле киши келди,a1 verified particle
да,и; тоже,Мен да барам,a1 verified particle
дагы,ещё; тоже,Дагы бир алма бер,a1 verified particle
эмес,не,Бул китеп эмес,a1 verified particle
жок,нет,Менде акча жок,a1 verified particle
ооба,да,Ооба туура айтасың,a1 verified particle
бекен,ли; разве,Ал үйдө бекен,a1 verified particle
экен,оказывается,Абдан кызык экен,a1 verified particle
эми,теперь; ну,Эми үйгө кеттик,a1 verified particle
деле,вовсе; и,Деле кызык эмес,a1 verified particle
-чы,ка (просьба),Мага жардам берчи,a1 verified particle
бир,один,Бир алма бер,a1 verified number
эки,два,Эки бала ойнойт,a1 verified number
үч,три,Үч күн өттү,a1 verified number
төрт,четыре,Төрт мүнөт калды,a1 verified number
беш,пять,Беш саат болду,a1 verified number
алты,шесть,Алты жумуртка бар,a1 verified number
жети,семь,Жети күн өттү,a1 verified number
сегиз,восемь,Сегиз саат иштедим,a1 verified number
тогуз,девять,Тогуз ай болду,a1 verified number
он,десять,Он сом бер,a1 verified number
он бир,одиннадцать,Он бир жашмын,a1 verified number
он эки,двенадцать,Он эки ай бар,a1 verified number
он үч,тринадцать,Он үч күн калды,a1 verified number
он төрт,четырнадцать,Он төрт жашта,a1 verified number
он беш,пятнадцать,Он беш мүнөт күт,a1 verified number
он алты,шестнадцать,Он алты жашта,a1 verified number
он жети,семнадцать,Он жети күн калды,a1 verified number
он сегиз,восемнадцать,Он сегиз жашмын,a1 verified number
он тогуз,девятнадцать,Он тогуз бала бар,a1 verified number
жыйырма,двадцать,Жыйырма жашка чыктым,a1 verified number
отуз,тридцать,Отуз күн өттү,a1 verified number
кырк,сорок,Кырк киши келди,a1 verified number
элүү,пятьдесят,Элүү сом бер,a1 verified number
алтымыш,шестьдесят,Алтымыш жашта болду,a1 verified number
жетимиш,семьдесят,Жетимиш жыл өттү,a1 verified number
сексен,восемьдесят,Сексен сом турат,a1 verified number
токсон,девяносто,Токсон жашка чыкты,a1 verified number
жүз,сто,Жүз сом бер,a1 verified number
миң,тысяча,Миң киши келди,a1 verified number
биринчи,первый,Биринчи күн башталды,a1 verified number
экинчи,второй,Экинчи класста окуйм,a1 verified number
үчүнчү,третий,Үчүнчү кабатта турам,a1 verified number
төртүнчү,четвёртый,Төртүнчү орунга келди,a1 verified number
бешинчи,пятый,Бешинчи күн болду,a1 verified number
алтынчы,шестой,Алтынчы айда туулган,a1 verified number
жетинчи,седьмой,Жетинчи катар бош,a1 verified number
сегизинчи,восьмой,Сегизинчи класста окуйт,a1 verified number
тогузунчу,девятый,Тогузунчу үйдө турат,a1 verified number
онунчу,десятый,Онунчу кабат бийик,a1 verified number
азыр,сейчас,Азыр үйгө келем,a1 verified adverb
бүгүн,сегодня,Бүгүн жумуш көп,a1 verified adverb
эртең,завтра,Эртең эрте турам,a1 verified adverb
кечээ,вчера,Кечээ досум келди,a1 verified adverb
бүрсүгүнү,послезавтра,Бүрсүгүнү жолго чыгам,a1 verified adverb
мурда,раньше,Мурда бул жерде турдум,a1 verified adverb
дайыма,всегда,Дайыма эрте турам,a1 verified adverb
кээде,иногда,Кээде кино көрөм,a1 verified adverb
көбүнчө,чаще; в основном,Көбүнчө үйдө болом,a1 verified adverb
эрте,рано,Эрте турдум бүгүн,a1 verified adverb
кеч,поздно,Кеч келдим кечээ,a1 verified adverb
дароо,сразу,Дароо жооп берди,a1 verified adverb
азырынча,пока что,Азырынча эч нерсе жок,a1 verified adverb
эртең менен,утром,Эртең менен чай ичем,a1 verified adverb
бул жерде,здесь,Бул жерде күтө тур,a1 verified adverb
ал жерде,там,Ал жерде эч ким жок,a1 verified adverb
мында,здесь; сюда,Мында келип отур,a1 verified adverb
анда,там; тогда,Анда эмне кызык бар,a1 verified adverb
ары,туда; дальше,Бир аз ары жыл,a1 verified adverb
жогору,вверх; наверху,Жогору карай чык,a1 verified adverb
төмөн,вниз; внизу,Төмөн карай түш,a1 verified adverb
жакын,близко,Мектеп үйгө жакын,a1 verified adverb
алыс,далеко,Шаар бул жерден алыс,a1 verified adverb
оң,направо; правый,Оң жакка бур,a1 verified adverb
сол,налево; левый,Сол колум ооруйт,a1 verified adverb
абдан,очень,Абдан жакшы иштейт,a1 verified adverb
өтө,очень; слишком,Өтө кооз көрүнөт,a1 verified adverb
аз,мало,Аз сүйлө көп иште,a1 verified adverb
көп,много,Көп китеп окуйм,a1 verified adverb
бир аз,немного,Бир аз күтө тур,a1 verified adverb
эң,самый; очень,Эң жакшы окуучу,a1 verified adverb
такыр,совсем; вовсе,Такыр билбейм муну,a1 verified adverb
толук,полностью,Толук түшүндүм баарын,a1 verified adverb
бир топ,довольно много,Бир топ адам келди,a1 verified adverb
жетишерлик,достаточно,Жетишерлик убакыт бар,a1 verified adverb
тез,быстро,Тез эле келди,a1 verified adverb
жай,медленно,Жай сүйлөчү мага,a1 verified adverb
чогуу,вместе,Чогуу иштейбиз бүгүн,a1 verified adverb
бирге,вместе,Бирге кино көрдүк,a1 verified adverb
жакшы,хорошо,Жакшы окуйт бул бала,a1 verified adverb
жаман,плохо,Жаман сүйлөбө эч качан,a1 verified adverb
акырын,тихо; медленно,Акырын басып кирди,a1 verified adverb
туура,правильно; прямо,Туура айттың досум,a1 verified adverb
кайра,обратно; снова,Кайра үйгө кайттым,a1 verified adverb
бекер,зря; напрасно,Бекер эле келдим,a1 verified adverb
катуу,сильно; громко,Катуу сүйлөбө бул жерде,a1 verified adverb
бирдей,одинаково,Экөө бирдей окушат,a1 verified adverb
өзүнчө,отдельно,Ал өзүнчө жашайт,a1 verified adverb
экөө,двое; оба,Экөө чогуу келди,a1 verified number
болуу,быть; становиться,Мен дарыгер болом,a1 verified verb
кылуу,делать,Эмне кылып жатасың,a1 verified verb
жасоо,делать; изготавливать,Апам тамак жасады,a1 verified verb
баруу,идти; ехать,Мен базарга барам,a1 verified verb
келүү,приходить; приезжать,Ал үйгө келди,a1 verified verb
берүү,давать,Мага китепти бер,a1 verified verb
алуу,брать; получать,Мен нан алдым,a1 verified verb
айтуу,говорить; сказать,Ал чындыкты айтты,a1 verified verb
дешүү,говорить друг другу,Алар макул дешти,a1 verified verb
көрүү,видеть,Мен аны көрдүм,a1 verified verb
кароо,смотреть,Биз кино карадык,a1 verified verb
билүү,знать,Мен жоопту билем,a1 verified verb
түшүнүү,понимать,Мен сени түшүндүм,a1 verified verb
окуу,читать; учиться,Ал китеп окуйт,a1 verified verb
жазуу,писать,Мен кат жаздым,a1 verified verb
иштөө,работать,Атам ооруканада иштейт,a1 verified verb
жашоо,жить,Биз Бишкекте жашайбыз,a1 verified verb
жеш,есть; кушать,Бала алма жеди,a1 verified verb
ичүү,пить,Мен чай ичем,a1 verified verb
уктоо,спать,Балдар уктап жатат,a1 verified verb
туруу,вставать; стоять,Мен эрте турдум,a1 verified verb
отуруу,сидеть,Ал орундукта отурат,a1 verified verb
жүрүү,ходить; идти,Мен жөө жүрдүм,a1 verified verb
каалоо,хотеть; желать,Мен ийгилик каалайм,a1 verified verb
сүйүү,любить,Мен сени сүйөм,a1 verified verb
күтүү,ждать,Мен сени күтөм,a1 verified verb
баштоо,начинать,Биз сабакты баштадык,a1 verified verb
бүтүрүү,заканчивать,Мен ишти бүтүрдүм,a1 verified verb
ойлоо,думать,Мен ушундай ойлойм,a1 verified verb
угуу,слышать; слушать,Мен ырды уктум,a1 verified verb
сүйлөө,говорить; разговаривать,Ал кыргызча сүйлөйт,a1 verified verb
чакыруу,звать; приглашать,Мен досторду чакырдым,a1 verified verb
издөө,искать,Мен ачкычты издедим,a1 verified verb
табуу,находить,Мен акчаны таптым,a1 verified verb
ачуу,открывать,Ал терезени ачты,a1 verified verb
жабуу,закрывать,Ал эшикти жапты,a1 verified verb
коюу,класть; ставить,Китепти столго койдум,a1 verified verb
кетүү,уходить; уезжать,Ал жумушка кетти,a1 verified verb
суроо,спрашивать,Ал менден жол сурады,a1 verified verb
кайтуу,возвращаться,Мен үйгө кайттым,a1 verified verb
чыгуу,выходить; подниматься,Ал сыртка чыкты,a1 verified verb
кирүү,входить,Мен бөлмөгө кирдим,a1 verified verb
өтүү,проходить; переходить,Биз жолдон өттүк,a1 verified verb
жетүү,достигать; хватать,Мен үйгө жеттим,a1 verified verb
түшүү,спускаться; падать,Мен автобустан түштүм,a1 verified verb
калуу,оставаться,Мен үйдө калдым,a1 verified verb
салуу,класть; строить,Ал жаңы үй салды,a1 verified verb
кошуу,добавлять,Мен ашка туз коштум,a1 verified verb
көтөрүү,поднимать,Мен оор жүктү көтөрдүм,a1 verified verb
апаруу,относить; отвозить,Баланы бакчага апардым,a1 verified verb
жеткирүү,доставлять,Мен катты жеткирдим,a1 verified verb
көрсөтүү,показывать,Ал мага жолду көрсөттү,a1 verified verb
сатуу,продавать,Ал базарда алма сатат,a1 verified verb
төлөө,платить,Мен акча төлөдүм,a1 verified verb
жуу,мыть,Мен колумду жуудум,a1 verified verb
тазалоо,чистить; убирать,Мен бөлмөнү тазаладым,a1 verified verb
даярдоо,готовить,Апам тамак даярдады,a1 verified verb
бышыруу,варить; печь,Ал нан бышырды,a1 verified verb
ойноо,играть,Балдар сыртта ойнойт,a1 verified verb
ырдоо,петь,Ал жакшы ырдайт,a1 verified verb
бийлөө,танцевать,Кыздар бийлеп жатат,a1 verified verb
күлүү,смеяться,Балдар күлүп жатат,a1 verified verb
ыйлоо,плакать,Наристе ыйлап жатат,a1 verified verb
эстөө,вспоминать,Мен аны эстедим,a1 verified verb
унутуу,забывать,Мен атын унуттум,a1 verified verb
үйрөнүү,учиться,Мен кыргызча үйрөнөм,a1 verified verb
үйрөтүү,учить; обучать,Ал бизди үйрөтөт,a1 verified verb
эсептөө,считать,Мен акчаны эсептедим,a1 verified verb
сезүү,чувствовать,Мен суукту сездим,a1 verified verb
жатуу,лежать,Мен төшөктө жаттым,a1 verified verb
жүгүрүү,бегать,Ал ылдам жүгүрдү,a1 verified verb
басуу,шагать; ступать,Мен жай бастым,a1 verified verb
секирүү,прыгать,Бала бийик секирди,a1 verified verb
жеңүү,побеждать,Биздин команда жеңди,a1 verified verb
утуу,выигрывать,Мен оюнда уттум,a1 verified verb
жолугуу,встречать,Мен досума жолуктум,a1 verified verb
таанышуу,знакомиться,Биз кечээ тааныштык,a1 verified verb
кийинүү,одеваться,Мен тез кийиндим,a1 verified verb
жуунуу,умываться,Мен эртең менен жуундум,a1 verified verb
тарануу,причёсываться,Кыз чачын таранды,a1 verified verb
ооруу,болеть,Менин башым ооруйт,a1 verified verb
токтоо,останавливаться,Автобус аялдамада токтоду,a1 verified verb
кайталоо,повторять,Мугалим сөздү кайталады,a1 verified verb
тандоо,выбирать,Мен кызыл көйнөк тандадым,a1 verified verb
колдоо,поддерживать,Мен сени колдойм,a1 verified verb
сурануу,просить,Мен уруксат сурандым,a1 verified verb
которуу,переводить; перекладывать,Мен текстти котордум,a1 verified verb
куруу,строить,Алар мектеп курду,a1 verified verb
оңдоо,чинить; исправлять,Ал машинени оңдоду,a1 verified verb
бузуу,ломать,Бала оюнчукту бузду,a1 verified verb
кесүү,резать,Мен нанды кестим,a1 verified verb
тигүү,шить,Апам көйнөк тикти,a1 verified verb
сактоо,хранить; сохранять,Мен сүрөттөрдү сактадым,a1 verified verb
кубануу,радоваться,Мен катуу кубандым,a1 verified verb
коркуу,бояться,Бала иттен коркту,a1 verified verb
ишенүү,верить,Мен сага ишенем,a1 verified verb
таануу,узнавать; знать,Мен аны тааныйм,a1 verified verb
чечүү,решать; развязывать,Мен маселени чечтим,a1 verified verb
өтүнүү,просить,Мен сизден өтүнөм,a1 verified verb
тартуу,тянуть; фотографировать,Ал сүрөт тартты,a1 verified verb
айдоо,водить; гнать,Ал машина айдайт,a1 verified verb
учуу,летать,Куш бийик учуп кетти,a1 verified verb
сүзүү,плавать,Ал дарыяда сүздү,a1 verified verb
кайрылуу,обращаться; поворачивать,Мен дарыгерге кайрылдым,a1 verified verb
өсүү,расти,Гүл тез өстү,a1 verified verb
өлүү,умирать,Балык суусуз өлдү,a1 verified verb
төрөлүү,рождаться,Ал айылда төрөлдү,a1 verified verb
кийүү,надевать,Мен пальто кийдим,a1 verified verb
чечинүү,раздеваться,Бала чечинип жатат,a1 verified verb
куюу,наливать,Ал чай куйду,a1 verified verb
төгүү,разливать; высыпать,Мен сууну төктүм,a1 verified verb
толтуруу,наполнять,Мен идишти толтурдум,a1 verified verb
илүү,вешать,Мен сүрөттү илдим,a1 verified verb
өчүрүү,выключать; гасить,Мен жарыкты өчүрдүм,a1 verified verb
күйгүзүү,включать; зажигать,Мен отту күйгүздүм,a1 verified verb
жагуу,нравиться; разжигать,Бул мага жагат,a1 verified verb
текшерүү,проверять,Мугалим дептерди текшерди,a1 verified verb
жаттоо,заучивать,Мен ырды жаттадым,a1 verified verb
катышуу,участвовать,Мен сынакка катыштым,a1 verified verb
башкаруу,управлять,Ал компанияны башкарат,a1 verified verb
түшүнүшүү,понимать друг друга,Биз бат түшүнүштүк,a2 verified verb
сүйлөшүү,разговаривать; договариваться,Биз телефондо сүйлөштүк,a2 verified verb
кыйкыруу,кричать,Ал катуу кыйкырды,a2 verified verb
шыбыроо,шептать,Ал кулагыма шыбырады,a2 verified verb
түшүндүрүү,объяснять,Мугалим эрежени түшүндүрдү,a2 verified verb
жарыялоо,объявлять,Алар жеңүүчүнү жарыялады,a2 verified verb
эскертүү,предупреждать; напоминать,Ал мени эскертти,a2 verified verb
байкоо,замечать,Мен катаны байкадым,a2 verified verb
элестетүү,представлять,Мен деңизди элестеттим,a2 verified verb
аныктоо,определять,Биз себебин аныктадык,a2 verified verb
улантуу,продолжать,Биз ишти уланттык,a2 verified verb
токтотуу,останавливать; прекращать,Айдоочу машинени токтотту,a2 verified verb
кайтаруу,возвращать; охранять,Мен карызды кайтардым,a2 verified verb
тапшыруу,сдавать; поручать,Мен экзамен тапшырдым,a2 verified verb
бөлүшүү,делиться,Балдар таттууну бөлүштү,a2 verified verb
өткөрүү,проводить,Биз майрамды өткөрдүк,a2 verified verb
жоготуу,терять,Мен телефонду жоготтум,a2 verified verb
жоголуу,теряться; исчезать,Ачкычым жоголуп калды,a2 verified verb
калтыруу,оставлять,Мен сумканы үйдө калтырдым,a2 verified verb
чыгаруу,вынимать; издавать,Ал жаңы китеп чыгарды,a2 verified verb
киргизүү,вводить; вносить,Мен маалымат киргиздим,a2 verified verb
кайнатуу,кипятить,Мен суу кайнаттым,a2 verified verb
кууруу,жарить,Апам эт куурду,a2 verified verb
тууроо,мелко резать,Мен пиязды туурадым,a2 verified verb
аралаштыруу,смешивать,Ал камырды аралаштырды,a2 verified verb
сугаруу,поливать,Мен гүлдөрдү сугардым,a2 verified verb
эгүү,сеять; сажать,Дыйкан буудай экти,a2 verified verb
жыйноо,собирать; убирать,Биз түшүм жыйнадык,a2 verified verb
сүртүү,вытирать,Мен столду сүрттүм,a2 verified verb
шыпыруу,подметать,Мен короону шыпырдым,a2 verified verb
актоо,белить; оправдывать,Алар тамды актады,a2 verified verb
алмаштыруу,менять; заменять,Мен дөңгөлөктү алмаштырдым,a2 verified verb
жеңилүү,проигрывать,Команда оюнда жеңилди,a2 verified verb
жарышуу,соревноваться,Балдар чуркап жарышты,a2 verified verb
байланышуу,связываться,Мен аны менен байланыштым,a2 verified verb
саламдашуу,здороваться,Биз кол алышып саламдаштык,a2 verified verb
коштошуу,прощаться,Ал достору менен коштошту,a2 verified verb
таарынуу,обижаться,Ал мага таарынды,a2 verified verb
кечирүү,прощать,Мен аны кечирдим,a2 verified verb
үмүттөнүү,надеяться,Биз жакшылыкка үмүттөнөбүз,a2 verified verb
көнүү,привыкать,Мен жаңы ишке көндүм,a2 verified verb
капалануу,грустить,Ал абдан капаланды,a2 verified verb
ачуулануу,сердиться,Атам катуу ачууланды,a2 verified verb
таңгалуу,удивляться,Мен буга таңгалдым,a2 verified verb
жылмаюу,улыбаться,Ал жылмайып койду,a2 verified verb
жактыруу,нравиться; одобрять,Мен бул ырды жактырам,a2 verified verb
буйруу,приказывать,Командир аскерге буйруду,a2 verified verb
уюштуруу,организовывать,Биз кече уюштурдук,a2 verified verb
катталуу,регистрироваться,Мен курска катталдым,a2 verified verb
даярдануу,готовиться,Мен сабакка даярдандым,a2 verified verb
аткаруу,выполнять; исполнять,Ал тапшырманы аткарды,a2 verified verb
талкуулоо,обсуждать,Биз планды талкууладык,a2 verified verb
сунуштоо,предлагать,Ал жаңы идея сунуштады,a2 verified verb
макулдашуу,договариваться,Биз баада макулдаштык,a2 verified verb
эрүү,таять,Кар эрип бүттү,a2 verified verb
тоңуу,мёрзнуть; замерзать,Суу тоңуп калды,a2 verified verb
күйүү,гореть,Отун жакшы күйдү,a2 verified verb
чоңоюу,взрослеть,Балдар тез чоңойду,a2 verified verb
айыгуу,выздоравливать,Ал ооруудан айыкты,a2 verified verb
тыныгуу,отдыхать,Биз бир аз тыныктык,a2 verified verb
айлануу,вращаться; кружиться,Жер күндү айланат,a2 verified verb
жылуу,двигаться,Поезд акырын жылды,a2 verified verb
сактануу,беречься; остерегаться,Ал ооруудан сактанат,a2 verified verb
кабарлоо,сообщать,Ал жаңылыкты кабарлады,a2 verified verb
белгилөө,отмечать,Биз майрамды белгиледик,a2 verified verb
сүрөттөө,описывать,Ал окуяны сүрөттөдү,a2 verified verb
которулуу,переезжать; переводиться,Ал жаңы үйгө которулду,a2 verified verb
өнүктүрүү,развивать,Алар тилди өнүктүрөт,a2 verified verb
өнүгүү,развиваться,Шаар тез өнүгүүдө,a2 verified verb
жеңилдетүү,облегчать,Дары оорууну жеңилдетти,a2 verified verb
кыймылдоо,двигаться; шевелиться,Бала кыймылдабай жатты,a2 verified verb
жетелөө,вести за руку,Ал баланы жетеледи,a2 verified verb
коргоо,защищать,Аскерлер мекенди коргойт,a2 verified verb
чабуу,косить; скакать,Ал чөп чапты,a2 verified verb
согуу,бить; ковать,Устат темир согот,a2 verified verb
уруу,бить; ударять,Ал допту урду,a2 verified verb
кармоо,держать; ловить,Мен балык кармадым,a2 verified verb
кысуу,сжимать,Ал колумду кысты,a2 verified verb
сүйрөө,тащить; волочить,Ал оор кутуну сүйрөдү,a2 verified verb
түртүү,толкать,Ал мени түрттү,a2 verified verb
согушуу,воевать; драться,Аскерлер душман менен согушту,a2 verified verb
урушуу,ругаться; ссориться,Алар бекеринен урушту,a2 verified verb
өкүнүү,сожалеть,Мен катама өкүндүм,a2 verified verb
ынануу,убеждаться,Мен чындыгына ынандым,a2 verified verb
шектенүү,подозревать; сомневаться,Ал мага шектенди,a2 verified verb
мактоо,хвалить,Мугалим окуучуну мактады,a2 verified verb
урматтоо,уважать,Биз карыларды урматтайбыз,a2 verified verb
сыйлоо,уважать; угощать,Меймандарды жакшы сыйладык,a2 verified verb
тыюу,запрещать,Дарыгер тамекини тыйды,a2 verified verb
кабылдоо,принимать,Дарыгер оорулууну кабылдады,a2 verified verb
сыноо,испытывать; пробовать,Ал жаңы ыкманы сынады,a2 verified verb
чечмелөө,разгадывать; толковать,Ал түштү чечмеледи,a2 verified verb
эскерүү,вспоминать; поминать,Биз баатырларды эскердик,a2 verified verb
толкундоо,волноваться,Мен экзамендин алдында толкундадым,a2 verified verb
тынчсыздануу,беспокоиться,Апам мен үчүн тынчсызданат,a2 verified verb
чарчоо,уставать,Мен катуу чарчадым,a2 verified verb
уктатуу,укладывать спать,Апам баланы уктатты,a2 verified verb
ойготуу,будить,Мен аны эрте ойготтум,a2 verified verb
жаңылуу,ошибаться,Мен жооптон жаңылдым,a2 verified verb
аяктоо,завершать; заканчивать,Биз долбоорду аяктадык,a2 verified verb
ата,отец,Менин атам жумушта иштейт,a1 verified family
апа,мать,Апам нан жапты,a1 verified family
бала,ребёнок; мальчик,Бала мектепке барат,a1 verified family
аял,женщина; жена,Аял базарга барды,a1 verified family
эркек,мужчина,Эркек китеп окуп жатат,a1 verified family
дос,друг,Менин досум келди,a1 verified family
киши,человек,Бул киши мугалим,a1 verified family
кыз,девочка; дочь,Кыз ыр ырдап жатат,a1 verified family
уул,сын,Уулум чоңоюп калды,a1 verified family
эже,старшая сестра,Эжем үйдө жок,a1 verified family
байке,старший брат,Байке мага жардам берди,a1 verified family
ага,старший брат; дядя,Агам шаарда жашайт,a1 verified family
ини,младший брат,Иним ойноп жатат,a1 verified family
сиңди,младшая сестра,Сиңдим азыр мектепте,a1 verified family
карындаш,младшая сестра,Карындашым сүрөт тартып жатат,a1 verified family
чоң ата,дедушка,Чоң атам жомок айтат,a1 verified family
чоң апа,бабушка,Чоң апам чай куйду,a1 verified family
бөбөк,младенец; малыш,Бөбөк уктап жатат,a1 verified family
небере,внук; внучка,Небереси бизге келди,a1 verified family
жээн,племянник; племянница,Жээним мени көрдү,a1 verified family
таята,дед по матери,Таятам айылда жашайт,a1 verified family
таене,бабушка по матери,Таенем токоч жасады,a1 verified family
күйөө,муж; жених,Күйөөсү жумуштан келди,a1 verified family
келин,невестка,Келин тамак жасады,a1 verified family
кайната,свёкор; тесть,Кайнатам сыйлуу киши,a1 verified family
кайнене,свекровь; тёща,Кайненем абдан меймандос,a1 verified family
тууган,родственник,Туугандар конокко келишти,a1 verified family
үй-бүлө,семья,Биздин үй-бүлө чоң,a1 verified family
коңшу,сосед,Коңшум жакшы адам,a1 verified family
адам,человек,Ар бир адам эмгектенет,a1 verified family
мугалим,учитель,Мугалим сабак берип жатат,a1 verified family
дарыгер,врач,Дарыгер оорулууну карап жатат,a1 verified family
окуучу,ученик,Окуучу китеп окуп жатат,a1 verified family
жигит,парень; молодой человек,Жигит машине айдап жатат,a1 verified family
кемпир,старуха,Кемпир жип ийрип жатат,a1 verified family
чал,старик,Чал таякка таянды,a1 verified family
балдыз,свояченица,Балдызым конокко келди,a1 verified family
жезде,муж старшей сестры,Жездем балык кармайт,a1 verified family
куда,сват,Кудалар конокко келишти,a1 verified family
өспүрүм,подросток,Өспүрүм футбол ойноп жатат,a1 verified family
наристе,младенец,Наристе бешикте уктап жатат,a1 verified family
эне,мать,Эне баласын сүйөт,a1 verified family
ата-эне,родители,Ата-энем айылда жашайт,a1 verified family
жолдош,товарищ; супруг,Жолдошум мени күтүп жатат,a1 verified family
таеже,тётя (сестра матери),Таежем бизге келди,a1 verified family
баш,голова,Башым ооруп жатат,a1 verified body
көз,глаз,Көзүм чоң жана кара,a1 verified body
кол,рука,Колум суукта тоңду,a1 verified body
бут,нога,Бутум ооруп жатат,a1 verified body
жүрөк,сердце,Жүрөгүм катуу согуп жатат,a1 verified body
чач,волосы,Чачым абдан узун,a1 verified body
ооз,рот,Оозум кургап калды,a1 verified body
тил,язык,Тилим күйүп кетти,a1 verified body
тиш,зуб,Тишим ооруп жатат,a1 verified body
