#separator:Comma
#html:false
#tags column:3
баруу,идти; ехать,week02 verbs
келүү,приходить; приезжать,week02 verbs
кетүү,уходить; уезжать,week02 verbs
алуу,брать; покупать,week02 verbs
берүү,давать,week02 verbs
жеш,есть; кушать,week02 verbs
ичүү,пить,week02 verbs
көрүү,видеть,week02 verbs
кароо,смотреть,week02 verbs
угуу,слышать; слушать,week02 verbs
билүү,знать,week02 verbs
түшүнүү,понимать,week02 verbs
айтуу,сказать; говорить,week02 verbs
сүйлөө,разговаривать,week02 verbs
окуу,читать; учиться,week02 verbs
жазуу,писать,week02 verbs
иштөө,работать,week02 verbs
жашоо,жить,week02 verbs
кылуу,делать,week02 verbs
жасоо,делать; изготавливать,week02 verbs
туруу,вставать; стоять,week02 verbs
отуруу,сидеть; садиться,week02 verbs
жатуу,лежать,week02 verbs
уктоо,спать,week02 verbs
ойгонуу,просыпаться,week02 verbs
каалоо,хотеть; желать,week02 verbs
сүйүү,любить,week02 verbs
күтүү,ждать,week02 verbs
баштоо,начинать,week02 verbs
бүтүрүү,заканчивать,week02 verbs
ойлоо,думать,week02 verbs
мугалим,учитель,week02 professions
дарыгер,врач,week02 professions
окуучу,ученик,week02 professions
студент,студент,week02 professions
сатуучу,продавец,week02 professions
айдоочу,водитель,week02 professions
ашпозчу,повар,week02 professions
инженер,инженер,week02 professions
жаш,молодой; возраст,week02 adjectives
кары,старый (о человеке),week02 adjectives
узун,длинный,week02 adjectives
кыска,короткий,week02 adjectives
бийик,высокий,week02 adjectives
жапыз,низкий,week02 adjectives
оор,тяжёлый; трудный,week02 adjectives
жеңил,лёгкий,week02 adjectives
таза,чистый,week02 adjectives
кир,грязный; грязь,week02 adjectives
күчтүү,сильный,week02 adjectives
сулуу,красивый (о человеке),week02 adjectives
кооз,красивый (о вещах),week02 adjectives
акылдуу,умный,week02 adjectives
оңой,лёгкий; простой,week02 adjectives
кыйын,трудный; сложный,week02 adjectives
туура,правильный; верно,week02 adjectives
маанилүү,важный,week02 adjectives
кызыктуу,интересный,week02 adjectives
абдан,очень,week02 adverbs
өтө,очень; слишком,week02 adverbs
аз,мало,week02 adverbs
көп,много,week02 adverbs
бир аз,немного,week02 adverbs
дагы,ещё; снова,week02 adverbs
эми,теперь,week02 adverbs
үй,дом,week03 places
батир,квартира,week03 places
мектеп,школа,week03 places
университет,университет,week03 places
жумуш,работа,week03 places
дүкөн,магазин,week03 places
базар,базар; рынок,week03 places
дарыкана,аптека,week03 places
оорукана,больница,week03 places
банк,банк,week03 places
аэропорт,аэропорт,week03 places
вокзал,вокзал,week03 places
шаар,город,week03 places
айыл,село; деревня,week03 places
көчө,улица,week03 places
жол,дорога; путь,week03 places
аянт,площадь,week03 places
парк,парк,week03 places
мейманкана,гостиница,week03 places
ашкана,кухня; столовая,week03 places
мечит,мечеть,week03 places
өлкө,страна,week03 places
дүйнө,мир (свет),week03 places
жер,земля; место,week03 places
машина,машина; автомобиль,week03 transport
автобус,автобус,week03 transport
маршрутка,маршрутка,week03 transport
такси,такси,week03 transport
поезд,поезд,week03 transport
учак,самолёт,week03 transport
велосипед,велосипед,week03 transport
аялдама,остановка,week03 transport
жүргүнчү,пассажир,week03 transport
билет,билет,week03 transport
кайда?,где?; куда?,week03 questions
кайдан?,откуда?,week03 questions
оң,правый; право,week03 directions
сол,левый; лево,week03 directions
түз,прямо; прямой,week03 directions
жогору,вверх; верх,week03 directions
төмөн,вниз; низ,week03 directions
жакын,близко; близкий,week03 directions
алыс,далеко; далёкий,week03 directions
жанында,рядом (с),week03 directions
ичинде,внутри,week03 directions
үстүндө,на; сверху,week03 directions
астында,под,week03 directions
ортосунда,между; посередине,week03 directions
менен,с (кем; чем),week03 postpositions
мага,мне,week03 pronouns
сага,тебе,week03 pronouns
ага,ему; ей,week03 pronouns
үй-бүлө,семья,week04 family
ата,отец,week04 family
апа,мама,week04 family
эне,мать,week04 family
бала,ребёнок,week04 family
балдар,дети,week04 family
уул,сын,week04 family
кыз,дочь; девочка; девушка,week04 family
ага (туугандык),старший брат,week04 family
байке,старший брат; уважительное обращение к мужчине,week04 family
ини,младший брат,week04 family
эже,старшая сестра,week04 family
сиңди,младшая сестра (для женщины),week04 family
карындаш,младшая сестра (для мужчины),week04 family
чоң ата,дедушка,week04 family
чоң эне,бабушка,week04 family
күйөө,муж,week04 family
аял,жена; женщина,week04 family
эркек,мужчина,week04 family
жигит,парень,week04 family
небере,внук; внучка,week04 family
тууган,родственник,week04 family
дос,друг,week04 family
курбу,подруга; сверстница,week04 family
эшик,дверь,week04 home
терезе,окно,week04 home
үстөл,стол,week04 home
отургуч,стул,week04 home
керебет,кровать,week04 home
төшөк,постель,week04 home
жууркан,одеяло,week04 home
жаздык,подушка,week04 home
күзгү,зеркало,week04 home
самын,мыло,week04 home
сүлгү,полотенце,week04 home
ачкыч,ключ,week04 home
китеп,книга,week04 home
дептер,тетрадь,week04 home
калем,ручка; карандаш,week04 home
телефон,телефон,week04 home
компьютер,компьютер,week04 home
баштык,сумка; пакет,week04 home
убакыт,время,week04 time
күн,день; солнце,week04 time
түн,ночь,week04 time
эртең менен,утро; утром,week04 time
түш,полдень; сон (сновидение),week04 time
кеч,вечер; поздно,week04 time
бүгүн,сегодня,week04 time
кечээ,вчера,week04 time
эртең,завтра,week04 time
азыр,сейчас,week04 time
кийин,потом; после,week04 time
мурун,раньше; до (также: нос),week04 time
эрте,рано,week04 time
дайыма,всегда,week04 time
кээде,иногда,week04 time
эч качан,никогда,week04 time
жыл,год,week04 time
ай,месяц; луна,week04 time
жума,неделя; пятница,week04 time
былтыр,в прошлом году,week04 time
быйыл,в этом году,week04 time
жакында,недавно; скоро,week04 time
он бир,одиннадцать,week05 numbers
жыйырма,двадцать,week05 numbers
отуз,тридцать,week05 numbers
кырк,сорок,week05 numbers
элүү,пятьдесят,week05 numbers
алтымыш,шестьдесят,week05 numbers
жетимиш,семьдесят,week05 numbers
сексен,восемьдесят,week05 numbers
токсон,девяносто,week05 numbers
жүз,сто,week05 numbers
миң,тысяча,week05 numbers
жарым,половина,week05 numbers
биринчи,первый,week05 numbers
экинчи,второй,week05 numbers
акыркы,последний,week05 numbers
дүйшөмбү,понедельник,week05 days
шейшемби,вторник,week05 days
шаршемби,среда,week05 days
бейшемби,четверг,week05 days
жума (күн),пятница,week05 days
ишемби,суббота,week05 days
жекшемби,воскресенье,week05 days
саат,час; часы,week05 time
мүнөт,минута,week05 time
качан?,когда?,week05 questions
канча?,сколько?,week05 questions
кандай?,какой?; как?,week05 questions
кайсы?,который?,week05 questions
эмнеге?,почему?; зачем?,week05 questions
кантип?,как? (каким образом),week05 questions
акча,деньги,week05 shopping
сом,сом (валюта),week05 shopping
баа,цена,week05 shopping
арзан,дешёвый,week05 shopping
кымбат,дорогой,week05 shopping
сатып алуу,покупать,week05 shopping
сатуу,продавать,week05 shopping
төлөө,платить,week05 shopping
Бул канча турат?,Сколько это стоит?,week05 shopping phrases
Арзаныраак болобу?,Можно подешевле?,week05 shopping phrases
Мага ... бериңизчи,Дайте мне ... пожалуйста,week05 shopping phrases
тамак,еда; пища,week06 food
нан,хлеб,week06 food
суу,вода,week06 food
чай,чай,week06 food
сүт,молоко,week06 food
айран,айран (кефир),week06 food
каймак,сметана; сливки,week06 food
кымыз,кумыс,week06 food
эт,мясо,week06 food
тоок,курица,week06 food
балык,рыба,week06 food
жумуртка,яйцо,week06 food
күрүч,рис,week06 food
кесме,лапша,week06 food
картөшкө,картофель,week06 food
помидор,помидор,week06 food
бадыраң,огурец,week06 food
пияз,лук,week06 food
сабиз,морковь,week06 food
алма,яблоко,week06 food
жүзүм,виноград,week06 food
өрүк,абрикос; урюк,week06 food
коон,дыня,week06 food
дарбыз,арбуз,week06 food
жаңгак,орех,week06 food
туз,соль,week06 food
кант,сахар,week06 food
мурч,перец,week06 food
май,масло; жир,week06 food
бал,мёд,week06 food
боорсок,боорсок,week06 food
палоо,плов,week06 food
лагман,лагман,week06 food
манты,манты,week06 food
шорпо,бульон; суп,week06 food
куурдак,куурдак (жаркое),week06 food
самса,самса,week06 food
даамдуу,вкусный,week06 food
таттуу,сладкий,week06 food
ачуу,горький; острый (также: открывать),week06 food
кашык,ложка,week06 food
айры,вилка,week06 food
бычак,нож,week06 food
табак,тарелка; блюдо,week06 food
чыны,пиала; чашка,week06 food
идиш,посуда,week06 food
казан,казан; котёл,week06 food
баш,голова,week06 body
чач,волосы,week06 body
көз,глаз,week06 body
кулак,ухо,week06 body
ооз,рот,week06 body
тиш,зуб,week06 body
тил,язык (орган и речь),week06 body
моюн,шея,week06 body
ийин,плечо,week06 body
кол,рука,week06 body
манжа,палец,week06 body
көкүрөк,грудь,week06 body
курсак,живот,week06 body
жон,спина,week06 body
бут,нога,week06 body
тизе,колено,week06 body
жүрөк,сердце,week06 body
кан,кровь,week06 body
сөөк,кость,week06 body
дары,лекарство,week06 health
ооруу,болезнь; болеть,week06 health
ден соолук,здоровье,week06 health
чарчоо,уставать,week06 health
керек,нужно; надо,week06 modality
мүмкүн,возможно; может быть,week06 modality
сөзсүз,обязательно,week06 modality
Курсагым ачты,Я проголодался,week06 health phrases
Суусадым,Я хочу пить,week06 health phrases
Башым ооруп жатат,У меня болит голова,week06 health phrases
ысык,горячий; жарко,week07 weather
суук,холодный; холодно,week07 weather
жылуу,тёплый,week07 weather
салкын,прохладный,week07 weather
аба ырайы,погода,week07 weather
аба,воздух,week07 weather
шамал,ветер,week07 weather
жамгыр,дождь,week07 weather
кар,снег,week07 weather
булут,облако; туча,week07 weather
асман,небо,week07 nature
жылдыз,звезда,week07 nature
тоо,гора,week07 nature
көл,озеро,week07 nature
дарыя,река,week07 nature
токой,лес,week07 nature
талаа,поле; степь,week07 nature
таш,камень,week07 nature
кум,песок,week07 nature
от,огонь,week07 nature
гүл,цветок,week07 nature
дарак,дерево,week07 nature
чөп,трава,week07 nature
ат,лошадь (также: имя),week07 animals
уй,корова,week07 animals
кой,овца,week07 animals
эчки,коза,week07 animals
төө,верблюд,week07 animals
ит,собака,week07 animals
мышык,кошка,week07 animals
чычкан,мышь,week07 animals
куш,птица,week07 animals
жылан,змея,week07 animals
карышкыр,волк,week07 animals
аюу,медведь,week07 animals
түлкү,лиса,week07 animals
коён,заяц,week07 animals
чуркоо,бегать,week07 verbs
басуу,ходить; шагать,week07 verbs
секирүү,прыгать,week07 verbs
учуу,летать,week07 verbs
сүзүү,плавать,week07 verbs
айдоо,водить (машину); гнать,week07 verbs
токтоо,останавливаться,week07 verbs
кайтып келүү,возвращаться,week07 verbs
жөнөө,отправляться,week07 verbs
шашуу,спешить,week07 verbs
жетүү,добираться; достигать,week07 verbs
өтүү,проходить; переходить,week07 verbs
кирүү,входить,week07 verbs
чыгуу,выходить; подниматься,week07 verbs
түшүү,спускаться; выходить (из транспорта); понимать (түшүнүү),week07 verbs
жуу,мыть,week07 verbs
тазалоо,чистить; убирать,week07 verbs
бышыруу,варить; готовить (еду),week07 verbs
даярдоо,готовить; подготавливать,week07 verbs
оңдоо,чинить; исправлять,week07 verbs
бузуу,ломать; портить,week07 verbs
көтөрүү,поднимать; нести,week07 verbs
таштоо,бросать; оставлять,week07 verbs
коюу,ставить; класть,week07 verbs
алып келүү,приносить,week07 verbs
алып баруу,относить; отвозить,week07 verbs
алып кетүү,забирать с собой,week07 verbs
суроо,спрашивать; вопрос,week07 verbs
жооп берүү,отвечать,week07 verbs
жардам берүү,помогать,week07 verbs
издөө,искать,week07 verbs
табуу,находить,week07 verbs
жоготуу,терять,week07 verbs
жабуу,закрывать,week07 verbs
чалуу,звонить,week07 verbs
жиберүү,отправлять,week07 verbs
жолугуу,встречаться,week07 verbs
таанышуу,знакомиться,week07 verbs
үйрөнүү,изучать; учиться,week07 verbs
үйрөтүү,обучать,week07 verbs
эстөө,помнить; вспоминать,week07 verbs
унутуу,забывать,week07 verbs
ойноо,играть,week07 verbs
ырдоо,петь,week07 verbs
бийлөө,танцевать,week07 verbs
күлүү,смеяться,week07 verbs
ыйлоо,плакать,week07 verbs
эс алуу,отдыхать,week07 verbs
кийүү,надевать,week07 verbs
чечүү,снимать (одежду); решать,week07 verbs
жагуу,нравиться (мага жагат),week07 verbs
жана,и,week07 conjunctions
же,или,week07 conjunctions
бирок,но,week07 conjunctions
анан,потом; затем,week07 conjunctions
анткени,потому что,week07 conjunctions
себеби,потому что; причина,week07 conjunctions
ошондуктан,поэтому,week07 conjunctions
эгер,если,week07 conjunctions
үчүн,для; ради,week07 postpositions
жөнүндө,о; про,week07 postpositions
чейин,до (предела),week07 postpositions
кийим,одежда,week08 clothes
көйнөк,платье; рубашка,week08 clothes
шым,брюки; штаны,week08 clothes
бут кийим,обувь,week08 clothes
өтүк,сапоги,week08 clothes
байпак,носки,week08 clothes
калпак,калпак; шапка,week08 clothes
мээлей,перчатки; варежки,week08 clothes
имарат,здание,week08 city
көпүрө,мост,week08 city
эстелик,памятник,week08 city
дарек,адрес,week08 city
багыт,направление,week08 city
жарык,свет; светлый,week08 city
кесип,профессия,week08 work
айлык,зарплата,week08 work
жолугушуу,встреча,week08 work
чогулуш,собрание,week08 work
тапшырма,задание,week08 work
сабак,урок,week08 work
сынак,экзамен,week08 work
ката,ошибка,week08 work
мисал,пример,week08 work
сөз,слово,week08 work
сүйлөм,предложение (фраза),week08 work
жооп,ответ,week08 work
маани,смысл; значение,week08 work
тез,быстро; быстрый,week08 adverbs
жай,медленно (также: лето),week08 adverbs
акырын,медленно; тихо,week08 adverbs
катуу,громко; сильно; твёрдый,week08 adverbs
начар,плохо; слабый,week08 adverbs
кайра,снова; обратно,week08 adverbs
балким,возможно,week08 adverbs
албетте,конечно,week08 adverbs
чын,правда; истинный,week08 adverbs
чынында,на самом деле,week08 adverbs
мисалы,например,week08 adverbs
кенен,широкий; просторный,week08 adjectives
тар,узкий; тесный,week08 adjectives
бош,пустой; свободный,week08 adjectives
толук,полный; целый,week08 adjectives
ачык,открытый; ясный,week08 adjectives
жабык,закрытый,week08 adjectives
бай,богатый,week08 adjectives
кедей,бедный,week08 adjectives
даяр,готовый,week08 adjectives
алсыз,слабый,week08 adjectives
кубаныч,радость,week09 emotions
кайгы,горе; печаль,week09 emotions
коркуу,бояться; страх,week09 emotions
сүйүнүү,радоваться,week09 emotions
капа болуу,огорчаться; обижаться,week09 emotions
ачуулануу,сердиться,week09 emotions
уялуу,стесняться; стыдиться,week09 emotions
бактылуу,счастливый,week09 emotions
боорукер,добрый; отзывчивый,week09 emotions
ак көңүл,добродушный,week09 emotions
сараң,жадный,week09 emotions
жалкоо,ленивый,week09 emotions
эмгекчил,трудолюбивый,week09 emotions
калп,ложь,week09 emotions
Менимче,По-моему,week09 opinions phrases
Мен макулмун,Я согласен,week09 opinions phrases
Макул эмесмин,Я не согласен,week09 opinions phrases
Билбейм,Не знаю,week09 opinions phrases
Кызык экен!,Интересно!,week09 opinions phrases
Мага ... жагат,Мне нравится ...,week09 opinions phrases
Мага ... жакпайт,Мне не нравится ...,week09 opinions phrases
кабар,новость; весть,week10 news
жаңылык,новость,week10 news
маалымат,информация,week10 news
окуя,событие; происшествие,week10 news
өкмөт,правительство,week10 news
мамлекет,государство,week10 news
мыйзам,закон,week10 news
шайлоо,выборы,week10 news
согуш,война,week10 news
тынчтык,мир; спокойствие,week10 news
коом,общество,week10 news
саясат,политика,week10 news
билим,знание; образование,week10 news
илим,наука,week10 news
маданият,культура,week10 news
тарых,история,week10 news
дин,религия,week10 news
маек,беседа; интервью,week10 news
гезит,газета,week11 reading
макала,статья,week11 reading
жомок,сказка,week11 reading
ыр,песня; стихотворение,week11 reading
сөздүк,словарь,week11 reading
тамга,буква,week11 reading
барак,лист; страница,week11 reading
сүрөт,картина; фотография,week11 reading
жарнама,реклама,week11 reading
кулактандыруу,объявление,week11 reading
эскертүү,предупреждение; напоминание,week11 reading
белги,знак; метка,week11 reading
жашоо (зат атооч),жизнь,week11 misc
өмүр,жизнь (продолжительность),week11 misc
ысым,имя (официальное),week11 misc
күч,сила,week11 misc
